,name_best_model,test_AUC,test_ACC,nb_informative_var,nb_selected_representations,selected_representations,selected_shema,nb_loop_rep_selection,run_time_on_dataset
Herring,Schema_All_in_one_N_features_30000_N_trees_0_,0.5,0.59375,0,7,"['ACF', 'DD', 'D', 'DCUMSUM', 'CUMSUM', 'PS', 'TS']",1,2,902.558759689331
InlineSkate,Schema_All_in_one_N_features_30000_N_trees_0_,0.8449994608923923,0.44363636363636366,635,6,"['TS', 'D', 'DD', 'CUMSUM', 'DCUMSUM', 'ACF']",1,2,2480.2541530132294
InsectWingbeatSound,Schema_All_in_one_N_features_30000_N_trees_0_,0.5495586419753087,0.6444444444444445,9360,3,"['TS', 'D', 'DD']",1,2,5032.255767822266
ItalyPowerDemand,Schema_One_each_N_features_30000_N_trees_0_,0.9816099248983785,0.9572400388726919,203,4,"['D', 'DD', 'CUMSUM', 'DCUMSUM']",0,3,823.5739319324493
LargeKitchenAppliances,Schema_All_in_one_N_features_30000_N_trees_0_,0.962784,0.8613333333333333,13210,7,"['CUMSUM', 'DD', 'D', 'TS', 'DCUMSUM', 'PS', 'ACF']",1,2,7074.766802310944
Lightning2,Schema_All_in_one_N_features_30000_N_trees_0_,0.6412337662337663,0.6557377049180327,1,7,"['ACF', 'CUMSUM', 'D', 'DCUMSUM', 'DD', 'PS', 'TS']",1,2,962.9353067874908
Lightning7,Schema_All_in_one_N_features_30000_N_trees_0_,0.946993103120212,0.7945205479452054,6755,6,"['TS', 'D', 'DD', 'CUMSUM', 'DCUMSUM', 'ACF']",1,2,1178.4327499866486
Mallat,Schema_All_in_one_N_features_30000_N_trees_0_,0.9994946295951752,0.9599147121535181,13101,6,"['TS', 'D', 'DD', 'CUMSUM', 'DCUMSUM', 'ACF']",1,2,1820.015827178955
Meat,Schema_One_each_N_features_30000_N_trees_0_,0.9925,0.9166666666666666,3771,2,"['TS', 'D']",0,2,1088.0904159545898
MedicalImages,Schema_All_in_one_N_features_30000_N_trees_0_,0.9527637782739188,0.6828947368421052,12574,3,"['TS', 'D', 'DD']",1,2,6085.968297481537
MiddlePhalanxOutlineAgeGroup,Schema_All_in_one_N_features_30000_N_trees_0_,0.652160969023038,0.6168831168831169,22657,5,"['TS', 'D', 'DD', 'CUMSUM', 'DCUMSUM']",1,2,4249.874491214752
MiddlePhalanxOutlineCorrect,Schema_All_in_one_N_features_30000_N_trees_0_,0.8945542168674698,0.8109965635738832,4531,6,"['TS', 'D', 'DD', 'CUMSUM', 'DCUMSUM', 'ACF']",1,2,3038.66259264946
MiddlePhalanxTW,Schema_All_in_one_N_features_30000_N_trees_0_,0.7534898038745036,0.5844155844155844,18759,3,"['TS', 'D', 'DD']",1,2,6051.091737985611
MoteStrain,Schema_All_in_one_N_features_30000_N_trees_0_,0.9317157712305025,0.8522364217252396,4,2,"['TS', 'D']",1,2,553.4705793857574
NonInvasiveFatalECGThorax1,Schema_All_in_one_N_features_30000_N_trees_0_,0.580651641821285,0.9139949109414758,26077,3,"['TS', 'D', 'DD']",1,2,162728.10072946548
NonInvasiveFatalECGThorax2,Schema_All_in_one_N_features_30000_N_trees_0_,0.5478527836380076,0.9150127226463104,27025,3,"['TS', 'D', 'DD']",1,2,156227.32276773453
OliveOil,Schema_All_in_one_N_features_30000_N_trees_0_,0.8326739417989417,0.7666666666666667,8,1,['TS'],1,3,921.9489345550537
OSULeaf,Schema_All_in_one_N_features_30000_N_trees_0_,0.9849651944783955,0.8801652892561983,11467,3,"['TS', 'D', 'DD']",1,2,3050.0926406383514
PhalangesOutlinesCorrect,Schema_All_in_one_N_features_30000_N_trees_0_,0.8902091254752851,0.8216783216783217,12167,6,"['TS', 'D', 'DD', 'CUMSUM', 'DCUMSUM', 'ACF']",1,2,11665.189067602158
Phoneme,Schema_All_in_one_N_features_30000_N_trees_0_,0.5266142889745081,0.2811181434599156,9455,3,"['TS', 'D', 'DD']",1,2,7346.579587936401
Plane,Schema_One_each_N_features_30000_N_trees_0_,1.0,1.0,15505,3,"['TS', 'D', 'DD']",0,2,2420.279747724533
ProximalPhalanxOutlineAgeGroup,Schema_All_in_one_N_features_30000_N_trees_0_,0.9343178407371148,0.8682926829268293,18883,3,"['TS', 'D', 'DD']",1,2,4381.665078639984
ProximalPhalanxOutlineCorrect,Schema_All_in_one_N_features_30000_N_trees_0_,0.952971378632292,0.8969072164948454,12732,6,"['TS', 'D', 'DD', 'CUMSUM', 'DCUMSUM', 'ACF']",1,2,4504.771455287933
ProximalPhalanxTW,Schema_All_in_one_N_features_30000_N_trees_0_,0.9236201031558636,0.7804878048780488,21944,6,"['D', 'ACF', 'PS', 'CUMSUM', 'DD', 'TS']",1,3,8181.935403585434
RefrigerationDevices,Schema_All_in_one_N_features_30000_N_trees_0_,0.8057813333333333,0.648,11568,3,"['TS', 'D', 'DD']",1,2,4873.105093955994
